pdb_id,entity_id
6cl9,1
6vx7,1
6xz7,3
6xz7,4
6xz7,5
6xz7,6
6xz7,7
6xz7,8
6xz7,9
6xz7,10
6xz7,11
6xz7,12
6xz7,13
6xz7,14
6xz7,15
6xz7,16
6xz7,17
6xz7,18
6xz7,19
6xz7,20
6xz7,21
6xz7,22
6wti,1
6wti,2
6wti,3
6wti,4
6uus,1
6uus,2
6uus,3
6uus,4
6uus,5
6uus,6
6uus,7
6z9e,1
7a6b,1
6yl3,1
6yl3,2
6yl3,3
6x8m,1
6vsa,1
6wz5,1
6wz5,2
6wz5,3
6wz5,4
6tsk,1
6x18,1
6x18,2
6x18,3
6x18,4
6x18,5
6x18,6
6vx8,1
6u2j,1
6u5g,1
6ymb,1
6ynx,1
6ynx,2
6ynx,3
6ynx,4
6ynx,5
6ynx,6
6ynx,7
6ynx,8
6ynx,9
6ynx,10
6ynx,11
6ynx,12
6ynx,13
6ynx,14
6ynx,15
6ynx,16
6ynx,17
6ynx,18
6ynx,19
6ynx,20
6ynx,21
6z9f,1
6x1q,1
6wbv,4
6zja,1
6zja,2
6wbv,1
6wbv,2
6wbv,3
6z6u,1
7a6a,1
6zgl,1
6zka,20
6zka,21
6zka,22
6zka,23
6zka,28
6zka,29
6zka,1
6zka,2
6zka,3
6zka,4
6zka,5
6zka,6
6zka,7
6zka,8
6zka,9
6zka,10
6zka,11
6zka,12
6zka,13
6zka,14
6zka,15
6zka,16
6zka,17
6zka,18
6zka,19
6zka,24
6zka,25
6zka,26
6zka,27
6zk9,1
6zk9,2
6zk9,3
6zk9,4
6zk9,5
6zk9,6
6zk9,7
6zk9,8
6zk9,9
6zk9,10
6zk9,11
6zk9,12
6zk9,13
6zk9,14
6zk9,15
6zk9,16
6zk9,17
6zk9,18
6xlu,1
6x19,1
6x19,2
6x19,3
6x19,4
6x19,5
6xz7,23
6xz7,24
6xz7,25
6xz7,26
6xz7,27
6xz7,28
6xz7,29
6xz7,30
6xz7,31
6ut5,1
6ut5,2
6v4n,1
6uva,1
6uva,2
6uva,3
6uva,4
6uva,5
6uva,6
6uva,7
6wel,1
6vx9,1
6u3q,1
6rpo,1
6v20,1
6drv,1
6cvm,1
6cl8,1
6cl7,1
6csg,1
6csg,2
6csg,3
6csg,4
6az3,1
6az3,2
6az3,30
6az3,31
6az3,32
6az3,33
6az3,34
6az3,35
6az3,36
6az3,37
6az3,38
6az3,39
6az3,40
6az3,41
6az3,42
6az3,3
6az3,4
6az3,5
6az3,6
6az3,7
6az3,8
6az3,9
6az3,10
6az3,11
6az3,12
6az3,13
6az3,14
6az3,15
6az3,16
6az3,17
6az3,18
6az3,19
6az3,20
6az3,21
6az3,22
6az3,23
6az3,24
6az3,25
6az3,26
6az3,27
6az3,28
6az3,29
6i5a,1
6l4u,1
6l4u,3
6l4u,4
6l4u,5
6l4u,6
6l4u,7
6l4u,8
6l4u,9
6l4u,10
6l4u,11
6l4u,12
6l4u,13
6l4u,15
6l4u,16
6l4u,17
6l4u,18
6l4u,19
6l4u,20
6l4u,21
6l4u,22
6l4u,23
6l4u,24
6l4u,25
6l4u,26
6l4u,27
6l4u,28
6kqk,1
6la6,1
6la6,2
6la6,3
6la6,4
6la6,5
6la6,6
6pcr,3
6pcr,4
6pcr,5
6pcr,6
6l3t,1
6ly5,1
6ly5,2
6ly5,3
6ly5,4
6ly5,5
6ly5,6
6ly5,7
6ly5,8
6ly5,9
6ly5,10
6ly5,11
6ly5,12
6ly5,13
6ly5,14
6ly5,15
6ly5,16
6ly5,17
6ly5,18
6ly5,19
6ly5,20
6ly5,21
6ly5,22
6ly5,23
6ly5,24
6ly5,25
6ly5,26
6ly5,27
6ly5,28
6ly5,29
6ly5,30
6ly5,31
6ly5,32
6ly5,33
6nz0,1
6nz0,2
6kmx,1
6kmx,2
6kmx,3
6kmx,4
6kmx,5
6kmx,6
6kpk,1
6m54,1
6lap,1
6lap,2
6lap,3
6la4,1
6la4,2
6la4,3
6la4,4
6la3,1
6la3,2
6la3,3
6la3,4
6kpi,1
6nwp,1
6pko,1
6pkr,1
6k61,1
6k61,2
6k61,3
6k61,4
6k61,5
6k61,6
6k61,7
6k61,8
6k61,9
6k61,10
6k61,11
6k61,12
6kmw,1
6kmw,2
6kmw,3
6kmw,4
6kmw,5
6kmw,6
6kmw,7
6kmw,8
6pc7,3
6pc7,5
6pc7,6
6pc7,7
6pc7,4
6pkk,1
6pc6,3
6pc6,4
6pc6,5
6pc6,6
6pc6,7
6pcr,7
6pkq,1
6kmx,7
6kmx,8
6kmx,9
6kq4,1
6pj6,3
6pj6,4
6pj6,5
6pj6,6
6pj6,7
6pj6,8
6pj6,9
6pj6,10
6pj6,11
6pj6,12
6pj6,13
6pj6,14
6pj6,15
6pj6,16
6pj6,17
6pj6,18
6pj6,19
6pj6,20
6pj6,21
6pj6,22
6pj6,23
6pj6,24
6pj6,25
6pj6,26
6pj6,27
6pj6,28
6pj6,29
6pj6,30
6pj6,31
6pkj,1
6pkt,1
6pu4,1
6pq4,1
6q04,1
6qsu,1
6qsu,2
6pks,1
6pkp,1
6s0z,3
6s0z,4
6s0z,5
6s0z,6
6s0z,7
6s0z,8
6s0z,9
6s0z,10
6s0z,11
6s0z,12
6s0z,13
6s0z,14
6s0z,15
6s0z,16
6s0z,17
6s0z,18
6s0z,19
6s0z,20
6s0z,21
6s0z,22
6s0z,23
6s0z,24
6s0z,25
6s0z,26
6s0z,27
6s0z,28
6s0z,29
6s0z,30
6s6z,1
6szu,1
6szu,2
6szu,3
6sk0,1
6tte,1
6szv,1
6szv,2
6szv,3
6pxm,1
6s8b,2
6s8b,3
6s8b,4
6s8b,5
6pq0,1
6s2o,1
6tti,1
6ufr,1
6sag,1
6thd,2
6thd,3
6thd,4
6s0x,3
6s0x,4
6s0x,5
6s0x,6
6s0x,7
6s0x,8
6s0x,9
6s0x,10
6s0x,11
6s0x,12
6s0x,13
6s0x,14
6s0x,15
6s0x,16
6s0x,17
6s0x,18
6s0x,19
6s0x,20
6s0x,21
6s0x,22
6s0x,23
6s0x,24
6s0x,25
6s0x,26
6s0x,27
6s0x,28
6s0x,29
6s0x,30
6s0x,32
6s0x,33
6s0x,34
6s0x,35
6s0x,36
6s0x,37
6s0x,38
6s0x,39
6s0x,40
6s0x,41
6s0x,42
6s0x,43
6s0x,44
6s0x,45
6s0x,46
6s0x,47
6s0x,48
6s0x,49
6s0x,50
6s0x,51
6s0x,52
6v21,1
6thd,1
6r7m,1
6m15,1
6kou,1
6lav,1
6li9,1
6li9,2
6m3x,1
6l4u,2
6l4u,14
6law,1
6pkm,1
6r7g,1
6rjh,1
7kv8,1
7kp3,1
7jkc,1
7a5v,1
7a5v,2
7byl,1
7kod,1
7bv2,1
7jz2,4
7jwy,1
7jy6,1
7jsx,1
7jsx,2
7jsy,1
7k00,27
7k00,30
7jlw,1
7jn1,1
7kfr,1
7kjr,1
7jz2,1
7jz2,2
7jz2,3
7jsx,3
7jm9,1
7k00,25
7k00,36
7k00,37
7k00,38
7k00,47
7k00,48
7k00,49
7k00,50
7k00,51
7k00,2
7k00,3
7k00,4
7k00,5
7k00,6
7k00,7
7k00,8
7k00,12
7k00,13
7k00,17
7k00,24
7k00,28
7k00,29
7k00,31
7k00,39
7k00,40
7k00,41
7k00,42
7k00,43
7k00,44
7k00,45
7k00,46
6zhx,4
6zhx,7
6wx6,1
6wzg,1
6wzg,2
6wzg,3
6wzg,4
6wzg,5
6wzg,6
6zhx,1
6zhx,2
6zhx,3
6tsh,1
6v4n,2
6v4n,3
6x1a,1
6x1a,2
6x1a,3
6x1a,4
6x1a,5
7jmd,1
6ybq,1
6ybq,2
6yac,1
6yac,2
6yac,3
6yac,5
6yac,10
6yac,15
6yac,16
6yac,17
6yac,4
6yac,6
6yac,7
6yac,8
6yac,9
6yac,11
6yac,12
6yac,13
6yac,14
7jmc,1
7c79,3
7c79,4
7c79,5
7c79,6
7c79,7
7c79,8
7c79,9
7c79,10
7c79,11
7c79,2
7byl,2
7k3w,1
7kv8,2
7k3v,1
7kjr,2
7jy8,1
6ysi,1
6ysi,2
6ysi,3
6ysi,4
6ysi,5
6ysi,6
6ysi,7
6ysi,8
6ysi,9
6ysi,10
6ysi,11
6ysi,12
6ysi,13
6ysi,14
6ysi,15
